Dataset Name,Observation Date,Series Display Name,Observation Value,Unit
Export Receipts by Commodities and Groups,30-Nov-25,............A) Footballs,17601.7738,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............B) Gloves,4908.4558,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............C) Others,6810.6008,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......30 Leather Tanned,10194.4221,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......31 Leather Manufactures,48139.3353,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............A) Leather Garments,20319.7557,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............B) Leather Gloves,23861.9971,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............C) Other Leather Manufact,3957.5825,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......32 Footwear,16480.0051,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............A) Leather Footwear,13554.4218,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............B) Canvas Footwear,4,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............C) Other Footwear,2921.5833,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......33 Surgical Goods & Medical Instr.,36945.2887,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......34 Cutlery,5009.3912,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......35 Onyx Manufactured,320.1757,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......36 Chemical & Pharmaceutical Prod,92910.8193,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............A) Fertilizer Manufacture,0,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............B) Plastic Materials,25126.1479,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............C) Pharmaceutical Product,16984.2825,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............D) Other Chemicals,50800.3889,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......37 Engineering Goods,27573.0701,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............A) Electric Fans,1827.217,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............B) Transport Equipment,1121.5012,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............C) Other Electrical Machi.,11335.0157,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............D) Machi.nery Specialized,4470.9785,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............E) Auto Parts,1941.8979,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............F) Other Machi.nery,6876.4598,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......38 Gems,360.9512,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......39 Jewellary,73.9464,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......40 Furniture,329.6361,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......41 Molasses,173.662,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......42 Handicrafts,2.3577,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......43 Cement,12670.757,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......44 Guar and Guar Products,1686.153,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,E. All Others,211778.393,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,I. Total Export Receipts through Banks,2266060.097,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,II Freight on Export,68388.09677,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,III Export Receipts Banks (fob),2197672,Thousand USD
