Observation Date,Series Display Name,Observation Value,Unit
31-Dec-25,. Ukraine,1837.1371,Thousand USD
31-Dec-25,. Upper Volta,0,Thousand USD
31-Dec-25,. Uruguay,864.2091,Thousand USD
31-Dec-25,. Uzbekistan,5633.8255,Thousand USD
31-Dec-25,. Vanuatu,0,Thousand USD
31-Dec-25,. Venezuela,198.7618,Thousand USD
31-Dec-25,. Viet Nam,16776.3787,Thousand USD
31-Dec-25,. Virgin Islands,8.159,Thousand USD
31-Dec-25,. Western Samoa,0,Thousand USD
31-Dec-25,. Windward Islands,0,Thousand USD
31-Dec-25,. Yemen Arab Republic,3427.9557,Thousand USD
31-Dec-25,. Zaire,0,Thousand USD
31-Dec-25,. Zambia,810.448,Thousand USD
31-Dec-25,. Zimbabwe,400.031,Thousand USD
31-Dec-25,. Other Countries,7975.3792,Thousand USD
31-Dec-25,I Export Receipts through Banks,2721732.875,Thousand USD
31-Dec-25,II Freight on Export,68388.09677,Thousand USD
31-Dec-25,III Export Receipts Banks (fob) (I-II),2653344.779,Thousand USD
31-Dec-25,IV Other Exports,97655.22137,Thousand USD
31-Dec-25,V Total Export as per BOP (III+IV),2751000,Thousand USD
30-Nov-25,. Afghanistan,9537.3115,Thousand USD
30-Nov-25,. Albania,583.9565,Thousand USD
30-Nov-25,. Algeria,1609.004,Thousand USD
30-Nov-25,. American Samoa,69.975,Thousand USD
30-Nov-25,. Andorra,0,Thousand USD
30-Nov-25,. Angola,1203.002,Thousand USD
30-Nov-25,. Antigua & Barbuda,8.863,Thousand USD
30-Nov-25,. Argentina,7277.1383,Thousand USD
30-Nov-25,. Armenia,44.4952,Thousand USD
30-Nov-25,. Aruba,0,Thousand USD
30-Nov-25,. Australia,19334.6395,Thousand USD
30-Nov-25,. Austria,2981.0738,Thousand USD
30-Nov-25,. Azerbaijan,6534.3621,Thousand USD
30-Nov-25,. Bahamas,18.385,Thousand USD
30-Nov-25,. Bahrain,2996.9075,Thousand USD
30-Nov-25,. Bangladesh,52650.954,Thousand USD
30-Nov-25,. Barbados,36.773,Thousand USD
30-Nov-25,. Belarus,88.4779,Thousand USD
30-Nov-25,. Belgium,46364.0354,Thousand USD
30-Nov-25,. Belize,0,Thousand USD
30-Nov-25,. Benin ( Dahomey ),1242.7298,Thousand USD
30-Nov-25,. Bermuda,30.5531,Thousand USD
30-Nov-25,. Bhutan,0,Thousand USD
30-Nov-25,. Bolivia,69.246,Thousand USD
30-Nov-25,. Bosnia Herzegovina,101.822,Thousand USD
30-Nov-25,. Botswana,168.506,Thousand USD
30-Nov-25,. Brazil,15652.423,Thousand USD
30-Nov-25,. Brunei,88.409,Thousand USD
30-Nov-25,. Bulgaria,3552.0917,Thousand USD
30-Nov-25,. Burkina Faso ( Upper Volta),12.235,Thousand USD
30-Nov-25,. Burundi,17.8437,Thousand USD
30-Nov-25,. Cambodia Kampuchea,2003.721,Thousand USD
30-Nov-25,. Cameroon,915.9573,Thousand USD
30-Nov-25,. Canada,27971.2671,Thousand USD
30-Nov-25,. Cape Verde,0,Thousand USD
30-Nov-25,. Cayman Islands,8.729,Thousand USD
30-Nov-25,. Central African Republic,144.2111,Thousand USD
30-Nov-25,. Chad,0,Thousand USD
30-Nov-25,. Chile,5946.016,Thousand USD
30-Nov-25,. China,194209.3565,Thousand USD
30-Nov-25,. Colombia,3799.0192,Thousand USD
30-Nov-25,. Comoros,344.2419,Thousand USD
30-Nov-25,. Congo,1334.93,Thousand USD
30-Nov-25,. Costa Rica,224.4483,Thousand USD
30-Nov-25,. Croatia,3566.848,Thousand USD
30-Nov-25,. Cuba,0,Thousand USD
30-Nov-25,. Cyprus,679.2851,Thousand USD
30-Nov-25,. Czech Republic,3733.0876,Thousand USD
30-Nov-25,. Denmark,21784.4003,Thousand USD
30-Nov-25,. Djibouti,4245.1432,Thousand USD
30-Nov-25,. Dominica,14.253,Thousand USD
30-Nov-25,. Dominican Republic,118,Thousand USD
30-Nov-25,. Ecuador,933.2409,Thousand USD
30-Nov-25,. Egypt,9569.0391,Thousand USD
30-Nov-25,. El Salvador,300.877,Thousand USD
30-Nov-25,. Equatorial Guinea,163.8374,Thousand USD
30-Nov-25,. Eritrea,0,Thousand USD
30-Nov-25,. Estonia,976.2089,Thousand USD
30-Nov-25,. Ethiopia,859.0563,Thousand USD
30-Nov-25,. Faeroe Islands,0,Thousand USD
30-Nov-25,. Falkland Islands,0,Thousand USD
30-Nov-25,. Fiji,76.156,Thousand USD
30-Nov-25,. Finland,2283.7573,Thousand USD
30-Nov-25,. France,37575.0363,Thousand USD
30-Nov-25,. French Guinea,0,Thousand USD
30-Nov-25,. Gabon,405.8724,Thousand USD
30-Nov-25,. Gambia,4267.731,Thousand USD
30-Nov-25,. Georgia,397.7261,Thousand USD
30-Nov-25,. Germany,121773.6983,Thousand USD
30-Nov-25,. Ghana,5661.625,Thousand USD
30-Nov-25,. Gibraltar,0,Thousand USD
30-Nov-25,. Greece,8812.0818,Thousand USD
30-Nov-25,. Greenland,0,Thousand USD
30-Nov-25,. Grenada,5.852,Thousand USD
30-Nov-25,. Guadeloupe,145.6264,Thousand USD
30-Nov-25,. Guam,47.7063,Thousand USD
30-Nov-25,. Guatemala,384.5256,Thousand USD
30-Nov-25,. Guinea,1971.6196,Thousand USD
30-Nov-25,. Guinea-Bissau,5051.1325,Thousand USD
30-Nov-25,. Guyana,454.5357,Thousand USD
30-Nov-25,. Haiti,2977.063,Thousand USD
30-Nov-25,. Honduras,251.539,Thousand USD
30-Nov-25,. Hong Kong,21289.5199,Thousand USD
30-Nov-25,. Hungary,2081.7246,Thousand USD
30-Nov-25,. Iceland,91.4131,Thousand USD
30-Nov-25,. India,416.985,Thousand USD
30-Nov-25,. Indonesia,5948.6775,Thousand USD
30-Nov-25,. Iran,0,Thousand USD
30-Nov-25,. Iraq,4030.2854,Thousand USD
30-Nov-25,. Ireland,8746.4095,Thousand USD
30-Nov-25,. Italy,82274.2878,Thousand USD
30-Nov-25,. Ivory Coast,3188.1412,Thousand USD
30-Nov-25,. Jamaica,130.752,Thousand USD
30-Nov-25,. Japan,11504.5126,Thousand USD
30-Nov-25,. Jordan,5131.196,Thousand USD
30-Nov-25,. Kazakhstan,4038.7331,Thousand USD
30-Nov-25,. Kenya,26652.3548,Thousand USD
30-Nov-25,. Kiribati,1.957,Thousand USD
30-Nov-25,. Kuwait,9807.589,Thousand USD
30-Nov-25,. Kyrgyzstan,176.5354,Thousand USD
30-Nov-25,. Laos,30.735,Thousand USD
30-Nov-25,. Latvia,1126.0824,Thousand USD
30-Nov-25,. Lebanon,958.94,Thousand USD
30-Nov-25,. Leeward Islands,0,Thousand USD
30-Nov-25,. Lesotho,0,Thousand USD
30-Nov-25,. Liberia,283.281,Thousand USD
30-Nov-25,. Libya,787.485,Thousand USD
30-Nov-25,. Lithuania,3163.2108,Thousand USD
30-Nov-25,. Luxembourg,29.2871,Thousand USD
30-Nov-25,. Macao,0,Thousand USD
30-Nov-25,. Macedonia (Formerly Yugoslavia),19.34,Thousand USD
30-Nov-25,. Madagascar,8521.0981,Thousand USD
30-Nov-25,. Malawi,185.7924,Thousand USD
30-Nov-25,. Malaysia,14825.8242,Thousand USD
30-Nov-25,. Maldives,376.151,Thousand USD
30-Nov-25,. Mali,56.68,Thousand USD
30-Nov-25,. Malta,474.2594,Thousand USD
30-Nov-25,. Martinique,92.7565,Thousand USD
30-Nov-25,. Mauritania,831.9435,Thousand USD
30-Nov-25,. Mauritius,2139.631,Thousand USD
30-Nov-25,. Mexico,9481.3198,Thousand USD
30-Nov-25,. Moldova,6.446,Thousand USD
30-Nov-25,. Mongolia,7,Thousand USD
30-Nov-25,. Montserrat,0,Thousand USD
30-Nov-25,. Morocco,1824.4686,Thousand USD
30-Nov-25,. Mozambique,7262.2158,Thousand USD
30-Nov-25,. Myanmar,1186.593,Thousand USD
30-Nov-25,. Namibia,97.222,Thousand USD
30-Nov-25,. Nauru,0,Thousand USD
30-Nov-25,. Nepal,85.599,Thousand USD
30-Nov-25,. Netherlands (Holland),111153.4943,Thousand USD
30-Nov-25,. Netherlands Antilles,0,Thousand USD
30-Nov-25,. New Caledonia,14.4736,Thousand USD
30-Nov-25,. New Zealand,2280.5756,Thousand USD
30-Nov-25,. Nicaragua,14.06,Thousand USD
30-Nov-25,. Niger,9.935,Thousand USD
30-Nov-25,. Nigeria,2968.908,Thousand USD
30-Nov-25,. North Korea,0,Thousand USD
30-Nov-25,. Norway,3922.1347,Thousand USD
30-Nov-25,. Oman,11462.5096,Thousand USD
30-Nov-25,. Panama Inc. Panama Canal Zone,3246.3357,Thousand USD
30-Nov-25,. Papua New Guinea,1.595,Thousand USD
30-Nov-25,. Paraguay,920.5054,Thousand USD
30-Nov-25,. Peru,2801.6084,Thousand USD
30-Nov-25,. Philippines,5845.5578,Thousand USD
30-Nov-25,. Poland,40309.0137,Thousand USD
30-Nov-25,. Polynesia,5.809,Thousand USD
30-Nov-25,. Portugal,13332.9969,Thousand USD
30-Nov-25,. Qatar,8107.9936,Thousand USD
30-Nov-25,. Reunion Island,348.5193,Thousand USD
30-Nov-25,. Romania,4140.4653,Thousand USD
30-Nov-25,. Russian Federation,2880.7036,Thousand USD
30-Nov-25,. Rwanda,92.144,Thousand USD
30-Nov-25,. Sao Tome & Principe,15.876,Thousand USD
30-Nov-25,. Saudi Arabia,53348.3741,Thousand USD
30-Nov-25,. Senegal,2706.6658,Thousand USD
30-Nov-25,. Serbia,213.4853,Thousand USD
30-Nov-25,. Seychelles,251.6159,Thousand USD
30-Nov-25,. Sierra Leone,570.691,Thousand USD
30-Nov-25,. Singapore,27281.4681,Thousand USD
30-Nov-25,. Slovak Republic,1690.241,Thousand USD
30-Nov-25,. Slovenia,6324.4457,Thousand USD
30-Nov-25,. Solomon Islands,0,Thousand USD
30-Nov-25,. Somalia,7310.1972,Thousand USD
30-Nov-25,. South Africa,11348.1437,Thousand USD
30-Nov-25,. South Korea,12469.525,Thousand USD
30-Nov-25,. Spain,120451.7872,Thousand USD
30-Nov-25,. Sri Lanka,15082.7053,Thousand USD
30-Nov-25,. St. Helena,0,Thousand USD
30-Nov-25,. St. Kitts-Nevis,3.5,Thousand USD
30-Nov-25,. St. Lucia,26.218,Thousand USD
30-Nov-25,. St. Pierre & Miquelon,0,Thousand USD
30-Nov-25,. St. Vincent,15.594,Thousand USD
30-Nov-25,. Sudan,1475.0619,Thousand USD
30-Nov-25,. Suriname,34.4,Thousand USD
30-Nov-25,. Swaziland,117.65,Thousand USD
30-Nov-25,. Sweden,13560.3053,Thousand USD
30-Nov-25,. Switzerland,7397.4276,Thousand USD
30-Nov-25,. Syrian Arab Republic,452.068,Thousand USD
30-Nov-25,. Tajikistan,520.038,Thousand USD
30-Nov-25,. Tanzania,14685.0744,Thousand USD
30-Nov-25,. Thailand,29089.498,Thousand USD
30-Nov-25,. Timor-Leste,198.432,Thousand USD
30-Nov-25,. Togo,1275.882,Thousand USD
30-Nov-25,. Tonga,14.56,Thousand USD
30-Nov-25,. Trinidad and Tobago,190.835,Thousand USD
30-Nov-25,. Tunisia,797.1482,Thousand USD
30-Nov-25,. Turkey,15205.2822,Thousand USD
30-Nov-25,. Turkmenistan,84.873,Thousand USD
30-Nov-25,. Tuvalu,0,Thousand USD
30-Nov-25,. U. A. E. Abu Dhabi,9193.6506,Thousand USD
30-Nov-25,. U. A. E. Ajman,366.416,Thousand USD
30-Nov-25,. U. A. E. Dubai,173707.088,Thousand USD
30-Nov-25,. U. A. E. Fujairah,0,Thousand USD
30-Nov-25,. U. A. E. Ras Al Khaimah,323.755,Thousand USD
30-Nov-25,. U. A. E. Sharjah,709.3991,Thousand USD
30-Nov-25,. U. A. E. Ummal Quwain,307.508,Thousand USD
30-Nov-25,. U. K.,151953.7326,Thousand USD
30-Nov-25,. U. S. A.,451448.4589,Thousand USD
30-Nov-25,. Uganda,587.546,Thousand USD
30-Nov-25,. Ukraine,1202.7908,Thousand USD
30-Nov-25,. Upper Volta,0,Thousand USD
30-Nov-25,. Uruguay,844.3169,Thousand USD
30-Nov-25,. Uzbekistan,5790.1741,Thousand USD
30-Nov-25,. Vanuatu,27.704,Thousand USD
30-Nov-25,. Venezuela,127.764,Thousand USD
30-Nov-25,. Viet Nam,14832.223,Thousand USD
30-Nov-25,. Virgin Islands,7.07,Thousand USD
30-Nov-25,. Western Samoa,0,Thousand USD
30-Nov-25,. Windward Islands,0,Thousand USD
30-Nov-25,. Yemen Arab Republic,3136.8444,Thousand USD
30-Nov-25,. Zaire,0,Thousand USD
30-Nov-25,. Zambia,319.25,Thousand USD
30-Nov-25,. Zimbabwe,122.773,Thousand USD
30-Nov-25,. Other Countries,4955.118,Thousand USD
30-Nov-25,I Export Receipts through Banks,2266060.097,Thousand USD
30-Nov-25,II Freight on Export,68388.09677,Thousand USD
30-Nov-25,III Export Receipts Banks (fob) (I-II),2197672,Thousand USD
30-Nov-25,IV Other Exports,79327.99997,Thousand USD
30-Nov-25,V Total Export as per BOP (III+IV),2277000,Thousand USD
31-Oct-25,. Afghanistan,39187.479,Thousand USD
31-Oct-25,. Albania,498.659,Thousand USD
31-Oct-25,. Algeria,2287.5812,Thousand USD
31-Oct-25,. American Samoa,163.1927,Thousand USD
31-Oct-25,. Andorra,0,Thousand USD
31-Oct-25,. Angola,1095.8122,Thousand USD
31-Oct-25,. Antigua & Barbuda,0,Thousand USD
31-Oct-25,. Argentina,3930.8031,Thousand USD
31-Oct-25,. Armenia,54.2656,Thousand USD
31-Oct-25,. Aruba,0,Thousand USD
31-Oct-25,. Australia,21261.2613,Thousand USD
31-Oct-25,. Austria,2372.3957,Thousand USD
31-Oct-25,. Azerbaijan,7306.8641,Thousand USD
31-Oct-25,. Bahamas,48.514,Thousand USD
31-Oct-25,. Bahrain,4452.069,Thousand USD
31-Oct-25,. Bangladesh,59320.4289,Thousand USD
31-Oct-25,. Barbados,46.895,Thousand USD
31-Oct-25,. Belarus,134.3492,Thousand USD
31-Oct-25,. Belgium,58849.332,Thousand USD
31-Oct-25,. Belize,4.19,Thousand USD
31-Oct-25,. Benin ( Dahomey ),2439.1889,Thousand USD
31-Oct-25,. Bermuda,39.435,Thousand USD
31-Oct-25,. Bhutan,0,Thousand USD
31-Oct-25,. Bolivia,274.243,Thousand USD
31-Oct-25,. Bosnia Herzegovina,114.4487,Thousand USD
